TEG_recirc_rate,no_of_equili_stages,temp,stripping_rate,water_content_spec
2.154,3,380,0,1
2.171,3,380,0,1
2.189,3,380,0,1
2.207,3,380,0,1
2.225,3,380,0,1
2.243,3,380,0,1
2.261,3,380,0,1
2.279,3,380,0,1
2.296,3,380,0,1
2.314,3,380,0,1
2.332,3,380,0,1
2.350,3,380,0,1
2.368,3,380,0,1
2.386,3,380,0,1
2.404,3,380,0,1
2.421,3,380,0,1
2.439,3,380,0,1
2.457,3,380,0,1
2.475,3,380,0,1
2.493,3,380,0,1
2.511,3,380,0,1
2.529,3,380,0,1
2.546,3,380,0,1
2.564,3,380,0,1
2.582,3,380,0,1
2.600,3,380,0,0
2.621,3,380,0,0
2.643,3,380,0,0
2.664,3,380,0,0
2.686,3,380,0,0
2.707,3,380,0,0
2.729,3,380,0,0
2.750,3,380,0,0
2.771,3,380,0,0
2.793,3,380,0,0
2.814,3,380,0,0
2.836,3,380,0,0
2.857,3,380,0,0
2.879,3,380,0,0
2.900,3,380,0,0
2.921,3,380,0,0
2.943,3,380,0,0
2.964,3,380,0,0
2.986,3,380,0,0
3.007,3,380,0,0
3.029,3,380,0,0
3.050,3,380,0,0
3.071,3,380,0,0
3.093,3,380,0,0
3.114,3,380,0,0
3.136,3,380,0,0
3.157,3,380,0,0
3.179,3,380,0,0
3.200,3,380,0,0
3.214,3,380,0,0
3.229,3,380,0,0
3.243,3,380,0,0
3.257,3,380,0,0
3.271,3,380,0,0
3.286,3,380,0,0
3.300,3,380,0,0
3.314,3,380,0,0
3.329,3,380,0,0
3.343,3,380,0,0
3.357,3,380,0,0
3.371,3,380,0,0
3.386,3,380,0,0
3.400,3,380,0,0
3.414,3,380,0,0
3.429,3,380,0,0
3.443,3,380,0,0
3.457,3,380,0,0
3.471,3,380,0,0
3.486,3,380,0,0
3.500,3,380,0,0
3.514,3,380,0,0
3.529,3,380,0,0
3.543,3,380,0,0
3.557,3,380,0,0
3.571,3,380,0,0
3.586,3,380,0,0
3.600,3,380,0,0
3.621,3,380,0,0
3.643,3,380,0,0
3.664,3,380,0,0
3.686,3,380,0,0
3.707,3,380,0,0
3.729,3,380,0,0
3.750,3,380,0,0
3.771,3,380,0,0
3.793,3,380,0,0
3.814,3,380,0,0
3.836,3,380,0,0
3.857,3,380,0,0
3.879,3,380,0,0
3.900,3,380,0,0
3.921,3,380,0,0
3.943,3,380,0,0
3.964,3,380,0,0
3.986,3,380,0,0
4.007,3,380,0,0
4.029,3,380,0,0
4.050,3,380,0,0
4.071,3,380,0,0
4.093,3,380,0,0
4.114,3,380,0,0
4.136,3,380,0,0
4.157,3,380,0,0
4.179,3,380,0,0
4.200,3,380,0,0
4.314,3,380,0,0
4.429,3,380,0,0
4.543,3,380,0,0
4.657,3,380,0,0
4.771,3,380,0,0
4.886,3,380,0,0
5.000,3,380,0,0
5.114,3,380,0,0
5.229,3,380,0,0
5.343,3,380,0,0
5.457,3,380,0,0
5.571,3,380,0,0
5.686,3,380,0,0
5.800,3,380,0,0
5.914,3,380,0,0
6.029,3,380,0,0
6.143,3,380,0,0
6.257,3,380,0,0
6.371,3,380,0,0
6.486,3,380,0,0
6.600,3,380,0,0
6.714,3,380,0,0
6.829,3,380,0,0
6.943,3,380,0,0
7.057,3,380,0,0
7.171,3,380,0,0
7.286,3,380,0,0
7.400,3,380,0,0
1.100,3,400,0,1
1.107,3,400,0,1
1.114,3,400,0,1
